Sample,Primer
SRX17852131,V3
SRX17852130,V3
SRX17852129,V3
SRX17852128,V3
SRX17852127,V3
SRX17852126,V3
SRX17852125,V3
SRX17852124,V3
SRX17852123,V3
SRX17852122,V3
SRX17852121,V3
SRX17852120,V3
SRX17852119,V3
SRX17852118,V3
SRX17852117,V3
SRX17852116,V3
SRX17852115,V3
SRX17852114,V3
SRX17852113,V3
SRX17852112,V3
SRX17852111,V3
SRX17852110,V3
SRX17852109,V3
SRX17852108,V3
SRX17852107,V4.1
SRX17852106,V4.1
SRX17852105,V4.1
SRX17852104,V4.1
SRX17852103,V3
SRX17852102,V4.1
SRX17852101,V4.1
SRX17852100,V4.1
SRX17852099,V4.1
SRX17852098,V4.1
SRX17852097,V4.1
SRX17852096,V4.1
SRX17852095,V4.1
SRX17852094,V4.1
SRX17852093,V4.1
SRX17852092,V3
SRX17852091,V4.1
SRX17852090,V4.1
SRX17852089,V4.1
SRX17852088,V4.1
SRX17852087,V4.1
SRX17852086,V4.1
SRX17852085,V4.1
SRX17852084,V4.1
SRX17852083,V4.1
SRX17852082,V4.1
SRX17852081,V3
SRX17852080,V3
SRX17852079,V4.1
SRX17852078,V4.1
SRX17852077,V4.1
SRX17852076,V4.1
SRX17852075,V4.1
SRX17852074,V4.1
SRX17852073,V4.1
SRX17852072,V4.1
SRX17852071,V4.1
SRX17852070,V4.1
SRX17852069,V3
SRX17852068,V4.1
SRX17852067,V3
SRX17852066,V3
SRX17852065,V3
SRX17852064,V3
SRX17852063,V3
SRX17852062,V3
SRX17852061,V3
SRX17852060,V3
SRX17852059,V3
SRX17852058,V3
SRX17852057,V3
SRX17852056,V3
SRX17852055,V3
SRX17852054,V3
SRX17852053,V3
SRX17852052,V3
SRX17852051,V3
SRX17852050,V3
SRX17852049,V3
SRX17852048,V3
SRX17852047,V3
SRX17852046,V3
SRX17852045,V3
SRX17852044,V3
SRX17852043,V3
SRX17852042,V3
SRX17852041,V3
SRX17852040,V3
SRX17852039,V4.1
SRX17852038,V4.1
SRX17852037,V4.1
SRX17852036,V4.1
SRX17852035,V4.1
SRX17852034,V4.1
SRX17852033,V4.1
SRX17852032,V4.1
SRX17852031,V4.1
SRX17852030,V3
SRX17852029,V4.1
SRX17852028,V4.1
SRX17852027,V4.1
SRX17852026,V4.1
SRX17852025,V4.1
SRX17852024,V4.1
SRX17852023,V4.1
SRX17852022,V4.1
SRX17852021,V4.1
SRX17852020,V4.1
SRX17852019,V3
SRX17852018,V4.1
SRX17852017,V4.1
SRX17852016,V4.1
SRX17852015,V4.1
SRX17852014,V4.1
SRX17852013,V4.1
SRX17852012,V4.1
SRX17852011,V4.1
SRX17852010,V4.1
SRX17852009,V4.1
SRX17852008,V3
SRX17852007,V4.1
SRX17852006,V4.1
SRX17852005,V4.1
SRX17852004,V4.1
SRX17852003,V4.1
SRX17852002,V4.1
SRX17852001,V4.1
SRX17852000,V4.1
SRX17851999,V4.1
SRX17851998,V4.1
SRX17851997,V3
SRX17851996,V4.1
SRX17851995,V4.1
SRX17851994,V4.1
SRX17851993,V4.1
SRX17851992,V4.1
SRX17851991,V4.1
SRX17851990,V4.1
SRX17851989,V4.1
SRX17851988,V4.1
SRX17851987,V4.1
SRX17851986,V3
SRX17851985,V4.1
SRX17851984,V4.1
SRX17851983,V4.1
SRX17851982,V4.1
SRX17851981,V4.1
SRX17851980,V4.1
SRX17851979,V4.1
SRX17851978,V4.1
SRX17851977,V4.1
SRX17851976,V4.1
SRX17851975,V3
SRX17851974,V3
SRX17851973,V3
SRX17851972,V3
SRX17851971,V3
SRX17851970,V3
SRX17851969,V3
SRX17851968,V3
SRX17851967,V3
SRX17851966,V3
SRX17851965,V3
SRX17851964,V3
SRX17851963,V3
SRX17851962,V3
SRX17851961,V3
SRX17851960,V3
SRX17851959,V3
SRX17851958,V3
SRX17851957,V3
SRX17851956,V3
SRX17851955,V3
SRX17851954,V3
SRX17851953,V3
SRX17851952,V3
SRX17851951,V3
SRX17851950,V3
SRX17851949,V3
SRX17851948,V3
SRX17851947,V3
SRX17851946,V3
SRX17851945,V3
SRX17851944,V3
SRX17851943,V3
SRX17851942,V4.1
SRX17851941,V4.1
SRX17851940,V4.1
SRX17851939,V4.1
SRX17851938,V4.1
SRX17851937,V4.1
SRX17851936,V4.1
SRX17851935,V4.1
SRX17851934,V4.1
SRX17851933,V4.1
SRX17851932,V3
SRX17851931,V4.1
SRX17851930,V4.1
SRX17851929,V4.1
SRX17851928,V4.1
SRX17851927,V4.1
SRX17851926,V4.1
SRX17851925,V4.1
SRX17851924,V4.1
SRX17851923,V4.1
SRX17851922,V4.1
SRX17851921,V3
SRX17851920,V3
SRX17851919,V3
SRX17851918,V3
SRX17851917,V3
SRX17851916,V3
SRX17851915,V3
SRX17851914,V3
SRX17851913,V3
SRX17851912,V3
SRX17851911,V3
SRX17851910,V3
SRX17851909,V3
SRX17851908,V3
